year,sie_count,du_count,ihr_count
1982,52,0,7
1983,275,0,44
1984,408,0,44
1985,215,0,52
1986,147,0,28
1987,113,0,13
1988,225,1,21
1989,184,0,20
1990,141,0,26
1991,428,2,56
1992,218,0,26
1993,128,1,8
1994,286,1,34
1995,674,4,100
1996,1781,2,224
1997,2263,52,244
1998,1723,14,212
1999,1818,16,226
2000,3571,33,388
2001,3719,35,406
2002,3577,25,382
2003,3910,16,368
2004,3256,32,314
2005,2791,9,340
2006,4787,50,477
2007,5667,89,578
2008,5005,103,515
2009,5040,67,503
2010,4092,87,387
2011,4782,80,535
2012,3970,100,443
2013,4422,57,467
2014,5652,123,709
2015,6034,154,720
2016,5432,148,625
2017,3158,64,370
