year,ni_count,du_count
1867,24,41
1868,9,17
1869,41,26
1870,35,44
1871,56,42
1872,43,19
1873,58,33
1874,43,19
1875,37,23
1876,36,15
1877,31,33
1878,60,25
1879,29,28
1880,72,29
1881,42,27
1882,68,49
1883,89,31
1884,44,10
1885,44,46
1886,79,75
1887,55,43
1888,77,33
1889,73,72
1890,59,19
1891,85,29
1892,89,32
1893,56,15
1894,47,19
1895,59,16
1896,75,27
1897,66,20
1898,87,25
1899,67,50
1900,61,23
1901,62,42
1902,83,52
1903,101,42
1904,175,45
1905,146,26
1906,154,44
1907,180,38
1908,169,57
1909,204,45
1910,238,49
1911,176,24
1912,298,37
1913,241,73
1914,247,24
1915,199,27
1916,169,43
1917,500,53
1918,409,70
1919,341,49
1920,510,50
1921,568,143
1922,512,32
1923,478,33
1924,302,37
1925,405,59
1926,378,32
1927,525,58
1928,608,56
1929,608,55
1930,790,62
1931,544,49
1932,910,62
1933,552,69
1934,429,64
1935,368,44
1936,575,42
1937,258,27
1938,267,33
1939,374,89
1940,202,45
1941,322,26
1942,249,35
1943,193,34
1944,173,14
1945,216,36
1946,286,38
1947,274,29
1948,319,46
1949,216,24
1950,266,35
1951,359,48
1952,297,32
1953,227,23
1954,267,36
1955,288,44
1956,391,67
1957,358,44
1958,564,42
1959,614,63
1960,509,94
1961,372,32
1962,347,23
1963,231,29
1964,500,48
1965,514,71
1966,690,43
1967,919,69
1968,1309,77
1969,703,79
1970,1045,99
1971,1480,110
1972,1529,117
1973,1656,81
1974,921,78
1975,2317,168
1976,1767,86
1977,2241,145
1978,1616,134
1979,2123,141
1980,2466,96
1981,3151,117
1982,2884,114
1983,2998,132
1984,3498,128
1985,2036,106
1986,2634,149
1987,3207,160
1988,2385,112
1989,2745,148
1990,3618,166
1991,3302,176
1992,3047,154
1993,4084,155
1994,3153,147
1995,2517,148
1996,3903,183
1997,3816,260
1998,2943,424
1999,3272,244
2000,3900,318
2001,3694,433
2002,3749,1159
2003,3987,1914
2004,5901,2899
2005,6414,3174
2006,9462,4872
2007,10678,4116
2008,10444,3057
2009,10389,2942
2010,5839,2882
2011,5390,2646
2012,5822,2704
2013,8934,3770
2014,6623,2962
2015,5082,2306
2016,5475,2398
2017,4899,2600
2018,2928,1809
2019,2047,978
2020,2710,1496
2021,2781,1437
2022,2880,1244
